verb,object,label
 absorb, rain,0.24874294559244278
 absorb, sand,0.2218489854116231
 absorb, concrete,0.170347001394489
 absorb, milk,0.08282442384308182
 absorb, oil,0.05438765834674019
 absorb, rock,0.051501984017134086
 absorb, sunlight,0.170347001394489
 attach, sticker,0.8
 attach, letter,0.2
 attack, air,0.10484215038338424
 attack, rock,0.13672115206402152
 attack, grape,0.09992586595706374
 attack, horse,0.09546305128801413
 attack, scooter,0.10507780739686802
 attack, victim,0.16496103249858088
 attack, water,0.02812204195642282
 bake, beans,0.2862920781054408
 bake, turkey,0.27191443888650185
 bake, bear,0.0912961928125388
 bake, chair,0.07420140896551261
 bake, cookie,0.16547655236807643
 beat, boxer,0.13773542287019871
 beat, cereal,0.13773542287019871
 beat, dentist,0.11914848320784852
 beat, gorilla,0.09457788547021156
 beat, man,0.05877945048778546
 beat, rice,0.08197460388314812
 beat, rust,0.09457788547021156
 bend, desert,0.07692761203501185
 bend, egg,0.06081004131713809
 bend, fish,0.06391501198432496
 bend, flowers,0.10916275347075936
 bend, lace,0.10916275347075936
 bend, lamp,0.10916275347075936
 bend, leg,0.06749943756233434
 bend, lion,0.058071263089656815
 bend, paper,0.03728754899585049
 bend, pin,0.06081004131713809
 bend, rock,0.025836121653909305
 bite, water,0.15463661563070957
 bite, cake,0.10713801399276829
 bite, dog,0.07425675320804855
 bite, girl,0.10426212550064333
 bite, man,0.09898584476752265
 bite, nail,0.17290053556220777
 bite, oil,0.07279701859211526
 bite, rabbit,0.08059116625476513
 bite, worm,0.13443192649121946
 break, chair,0.14340339387570408
 break, hand,0.16784058160103157
 break, house,0.08875746694200452
 break, laptop,0.173190951617335
 break, plate,0.24077764598655396
 break, water,0.07260803214045368
 breed, dog,0.12440021957900302
 breed, gorilla,0.2400855284374267
 breed, water,0.08522505088637648
 breed, baboon,0.12699596644904743
 breed, bird,0.10539734756253212
 breed, cat,0.04366890526386793
 breed, dolphin,0.09844414533219806
 breed, pebbles,0.05089189463714761
 breed, rock,0.036931345557543134
 build, house,0.1346076208105913
 build, castle,0.1708915617367305
 build, cup,0.056641597536698625
 build, deck,0.1708915617367305
 build, lake,0.08821784198381574
 build, shelf,0.1708915617367305
 build, wall,0.10170780898928838
 burn, cloth,0.26959071876376206
 burn, ham,0.1831068695928767
 burn, ice,0.144820903574059
 burn, oil,0.06125572059004049
 burn, rug,0.11063960427638321
 bury, dentist,0.16529008198348757
 bury, rice,0.11505190964179171
 bury, water,0.042033474281473845
 capsize, basket,0.11471885704355284
 capsize, house,0.030530844945898486
 capsize, kayak,0.13346123581066902
 capsize, pan,0.11471885704355284
 capsize, turtle,0.08084472652773748
 carry, cable,0.19395058231769852
 carry, cream,0.09927011307326662
 carry, hat,0.16836430704877065
 carry, house,0.053434517258493554
 carry, lake,0.10222474494546294
 carry, mud,0.10543661264921188
 carry, scissors,0.14277803177984275
 carry, ship,0.13454109092725317
 catch, baboon,0.10424904947866417
 catch, bird,0.08619071074976979
 catch, desert,0.08619071074976979
 catch, house,0.02313364474470984
 catch, lion,0.06506380878632226
 catch, pea,0.07562725976804603
 catch, rock,0.028947131328533483
 chafe, dog,0.18410451693784885
 chafe, girl,0.2356653436285634
 chafe, air,0.03956177347011299
 chafe, cup,0.06509491754475395
 chafe, milk,0.09749474340302672
 chafe, nail,0.14855497312151142
 chafe, sand,0.10377763116486231
 chafe, spatula,0.12574610072932021
 chew, apple,0.0960872622917239
 chew, building,0.11271655088312382
 chew, carrot,0.1710450369925369
 chew, infant,0.09951714196004557
 chew, lip,0.1710450369925369
 chew, rice,0.10335142121303467
 chew, skyscraper,0.07519251267446143
 chew, toothpick,0.1710450369925369
 chill, water,0.11074004832443762
 chill, cake,0.07672483517925135
 chill, fire,0.12381940451416341
 chill, girl,0.07466532275850508
 chill, ice,0.13359241065735142
 chill, juice,0.14736668918161946
 chill, moon,0.13359241065735142
 chill, soda,0.13359241065735142
 choke, elephant,0.1485150735527116
 choke, ant,0.07884136958557499
 choke, bear,0.09039170578219191
 choke, bird,0.12184590870029209
 choke, clown,0.1317213881393231
 choke, infant,0.09400849565441784
 choke, man,0.06835830341639075
 choke, policeman,0.16943428062422838
 choke, rock,0.04642012373048154
 chop, tree,0.15012755285263776
 chop, air,0.022425241079436775
 chop, bush,0.08141728511442166
 chop, lettuce,0.15098442051338015
 chop, monkey,0.08141728511442166
 chop, onions,0.15098442051338015
 chop, rabbit,0.04548226805820728
 chop, rock,0.03752530952048456
 chop, scissors,0.10709244491944307
 clean, house,0.13965244439840635
 clean, infant,0.104936972652672
 clean, room,0.16257073921156778
 clean, shirt,0.06010177096886511
 clean, smoke,0.06010177096886511
 clench, air,0.07395770018625437
 clench, hand,0.16659392005615392
