verb,subject,label
 absorb,shampoo,1.0
 accomplish,birdhouse,1.0
 attack,blanket,0.5
 attack,mammal,0.5
 avoid,person,1.0
 benefit,lithograph,1.0
 bind,coupler,1.0
 bite,cook,0.512174517536355
 bite,rock,0.4878254824636451
 borrow,person,0.10247633784534178
 borrow,someone,0.8975236621546583
 bother,door,1.0
 bounce,person,1.0
 break,person,1.0
 breath,armrest,0.26490696787709084
 breath,hustler,0.21821984782913217
 breath,person,-0.012940751460404838
 breath,saleswoman,0.26490696787709084
 breathe,people,0.3220014623301148
 breathe,woman,0.6779985376698853
 bring,person,1.0
 build,someone,0.8975236621546583
 burn,person,1.0
 buy,person,0.7441566140905794
 buy,people,0.15268078733949114
 buy,someone,0.03645686862565707
 buy,tourist,0.06670572994427237
 carry,person,0.29928942434459144
 carry,boat,0.1674966754209588
 carry,people,0.030723873971573328
 catch,people,1.0
 change,water,0.11441552274548615
 change,abdomen,0.05363341966712488
 change,barbershop,0.06224551306068297
 change,cloud,0.05363341966712488
 change,cocoon,0.06224551306068297
 change,constable,0.06224551306068297
 change,deed,0.06224551306068297
 change,eardrum,0.06224551306068297
 change,gasp,0.06224551306068297
 change,lizard,0.04859566797918499
 change,mist,0.06224551306068297
 change,slime,0.05363341966712488
 check,toilet,0.5254708293963612
 childuse,a,1.0
 clean,band,0.2568945359997396
 clean,clarinetist,0.2293163920007811
 clean,sleepwear,0.2568945359997396
 climb,person,0.15457698102029013
 climb,friend,0.3057674632975982
 climb,squirrel,0.2698277778410558
 collect,methane,0.2568945359997396
 collect,mosquito,0.2568945359997396
 collect,satellite,0.2293163920007811
 conduct,runway,1.0
 consult,judge,1.0
 consume,person,0.5872327656111131
 consume,opiate,0.4127672343888869
 contain,arsenic,0.07932714274910159
 contain,aspirin,0.07932714274910159
 contain,box,0.05849190559022099
 contain,casserole,0.0689095241696613
 contain,cumin,0.07932714274910159
 contain,ethyl,0.07932714274910159
 contain,pool,0.07932714274910159
 contain,river,0.07932714274910159
 contain,roast,0.07932714274910159
 contain,tutu,0.07932714274910159
 contain,wastepaper,0.07932714274910159
 control,boss,0.2641801337705273
 control,pamphlet,0.2358198662294726
 control,slammer,0.2358198662294726
 cook,person,0.09715561655762657
 cook,clock,0.2621771551281369
 cost,air,0.02581664797402007
 cost,brat,0.02581664797402007
 cost,calligrapher,0.02581664797402007
 cost,case,0.02581664797402007
 cost,chinaware,0.02581664797402007
 cost,clutter,0.02581664797402007
 cost,conduct,0.02581664797402007
 cost,controller,0.021457812983248684
 cost,customer,0.021457812983248684
 cost,diamond,0.02581664797402007
 cost,exercise,0.02581664797402007
 cost,ghost,0.021457812983248684
 cost,holder,0.017098977992477293
 cost,husband,0.02581664797402007
 cost,leafs,0.02581664797402007
 cost,lipstick,0.02581664797402007
 cost,milk,0.018908057966816175
 cost,mural,0.02581664797402007
 cost,pen,0.02581664797402007
 cost,present,0.02581664797402007
 cost,script,0.02581664797402007
 cost,sculpture,0.02581664797402007
 cost,slime,0.021457812983248684
 cost,swarm,0.02581664797402007
 cost,tailpipe,0.02581664797402007
 cost,tea,0.021457812983248684
 cost,terminal,0.02581664797402007
 cost,tonsillectomy,0.021457812983248684
 cost,transistor,0.02581664797402007
 cover,curtain,0.5
 cover,mailbox,0.5
 create,cabana,0.13515910020572836
 create,chute,0.13515910020572836
 create,human,0.05388629855990133
 create,schoolmistress,0.13515910020572836
 create,shutter,0.13515910020572836
 create,spotlight,0.13515910020572836
 create,trainload,0.13515910020572836
 create,vault,0.13515910020572836
 cut,flashlight,0.2029707744818255
 cut,knife,0.22836363708552312
 cut,neat,0.18811690207269788
 cut,pinball,0.2029707744818255
 cut,tit,0.1775779118781279
 damage,windstorm,1.0
 decompose,elbow,1.0
 destroy,person,1.0
 display,human,1.0
 drink,housemate,0.20971605887579062
 drink,people,0.019245129471126138
 drink,soap,0.1810473273493903
 drive,concubine,0.10001666708285119
 drive,human,0.028763355791847314
 drive,pilot,0.11782999490560217
